is_gpt,Avg_Word_Length,Lexical_Richness,Avg_Sent_Length,Reading_Ease,Sentiment_Score,Stopword_Freq,Named_Entity_Freq,Perplexity,NN,.,IN,DT,NNS,PRP,VBD,VBN,RB,:,MD,VB,PRP$,CC,JJ,TO,VBG,",",NNP,RP,WDT,CD,POS,WP,VBZ,WRB,VBP,JJR
0,3.948802642444261,0.4343517753922378,117.0,81.22,0.9717,0.34186622625928986,0.021469859620148638,50.56853485107422,199,55.0,150.0,161.0,73.0,48.0,86.0,33.0,22.0,16.0,3.0,17.0,15.0,35.0,90,11.0,22.0,57.0,68.0,2.0,9.0,6.0,0.0,1.0,17.0,2.0,5.0,1.0
0,3.8834555827220862,0.3960880195599022,91.37096774193549,79.4,0.7701,0.3610431947840261,0.027709861450692746,36.966182708740234,137,61.0,110.0,106.0,47.0,85.0,70.0,12.0,85.0,12.0,12.0,44.0,22.0,36.0,76,25.0,26.0,82.0,47.0,6.0,2.0,9.0,5.0,5.0,7.0,6.0,32.0,4.0
0,3.8890829694323146,0.3921397379912664,88.26229508196721,80.21,-0.8244,0.41397379912663756,0.04017467248908297,43.19794464111328,150,60.0,107.0,102.0,30.0,57.0,101.0,22.0,79.0,15.0,8.0,31.0,24.0,60.0,76,16.0,19.0,54.0,63.0,9.0,6.0,10.0,0.0,2.0,1.0,8.0,2.0,8.0
0,3.620222929936306,0.35429936305732485,96.3157894736842,83.15,0.9898,0.36863057324840764,0.006369426751592357,23.871110916137695,179,66.0,117.0,93.0,32.0,102.0,85.0,26.0,56.0,16.0,10.0,42.0,28.0,41.0,69,29.0,28.0,88.0,44.0,5.0,3.0,13.0,0.0,13.0,24.0,8.0,28.0,1.0
0,4.296888141295206,0.464255677039529,102.54237288135593,78.79,-0.9997,0.024390243902439025,0.13204373423044574,146.17083740234375,439,59.0,24.0,11.0,23.0,0.0,22.0,1.0,11.0,13.0,3.0,9.0,0.0,2.0,125,0.0,2.0,112.0,271.0,0.0,0.0,0.0,5.0,2.0,14.0,0.0,26.0,1.0
0,4.865298840321142,0.5209634255129348,178.27777777777777,68.03,-0.9981,0.020517395182872437,0.12845673505798394,140.18983459472656,422,35.0,40.0,7.0,25.0,0.0,19.0,3.0,14.0,11.0,1.0,7.0,1.0,0.0,149,0.0,3.0,82.0,248.0,0.0,0.0,0.0,0.0,3.0,18.0,0.0,25.0,1.0
0,3.7255369928400954,0.37788385043754974,128.1590909090909,69.21,0.9929,0.375497215592681,0.011137629276054098,23.514760971069336,183,53.0,128.0,140.0,17.0,78.0,64.0,24.0,70.0,21.0,15.0,37.0,19.0,31.0,73,21.0,16.0,102.0,72.0,0.0,9.0,0.0,0.0,11.0,39.0,4.0,14.0,1.0
0,3.83359375,0.41015625,48.94871794871795,88.23,-0.9981,0.26875,0.025,53.16400146484375,164,116.0,95.0,115.0,48.0,91.0,99.0,23.0,29.0,17.0,5.0,28.0,25.0,19.0,91,20.0,17.0,49.0,105.0,10.0,3.0,6.0,4.0,3.0,5.0,11.0,16.0,0.0
0,3.5617805065234074,0.37452033768227166,49.64545454545455,87.21,0.987,0.3085188027628549,0.035303146584804296,34.73057174682617,151,109.0,96.0,119.0,32.0,88.0,48.0,19.0,77.0,22.0,28.0,56.0,23.0,41.0,76,18.0,16.0,46.0,69.0,7.0,3.0,10.0,3.0,2.0,18.0,4.0,35.0,5.0
0,4.021844660194175,0.4215210355987055,73.225,74.9,0.997,0.3187702265372168,0.042071197411003236,39.707679748535156,127,79.0,102.0,89.0,51.0,72.0,73.0,35.0,80.0,8.0,17.0,42.0,31.0,25.0,93,24.0,20.0,78.0,81.0,3.0,5.0,8.0,7.0,3.0,7.0,8.0,15.0,3.0
0,3.659402744148507,0.4011299435028249,86.84126984126983,82.44,0.9935,0.3341404358353511,0.053268765133171914,44.35090637207031,153,63.0,133.0,92.0,49.0,61.0,82.0,14.0,57.0,14.0,14.0,43.0,20.0,58.0,67,26.0,12.0,88.0,112.0,5.0,2.0,14.0,9.0,3.0,14.0,3.0,11.0,2.0
0,4.171140939597316,0.4161073825503356,103.14035087719299,62.48,0.9983,0.3859060402684564,0.01174496644295302,43.814910888671875,157,56.0,120.0,95.0,60.0,79.0,46.0,28.0,52.0,17.0,21.0,58.0,32.0,46.0,58,40.0,20.0,62.0,31.0,5.0,9.0,2.0,1.0,7.0,18.0,5.0,23.0,1.0
0,4.359550561797753,0.4226447709593777,124.91666666666667,67.28,0.9877,0.40190146931719967,0.018150388936905792,36.4900016784668,134,47.0,125.0,97.0,53.0,79.0,87.0,35.0,67.0,28.0,25.0,46.0,29.0,29.0,79,27.0,23.0,50.0,39.0,4.0,5.0,13.0,5.0,10.0,0.0,5.0,0.0,6.0
0,3.808438818565401,0.4050632911392405,73.20270270270271,82.95,0.9912,0.37130801687763715,0.02362869198312236,48.797420501708984,217,73.0,136.0,150.0,29.0,49.0,90.0,23.0,44.0,9.0,9.0,21.0,32.0,38.0,66,19.0,7.0,63.0,39.0,5.0,2.0,7.0,13.0,1.0,5.0,4.0,3.0,1.0
0,4.068585944115156,0.4377646062658764,81.25714285714285,66.33,0.9972,0.33784928027095684,0.03556308213378493,37.14811325073242,154,69.0,113.0,117.0,57.0,74.0,59.0,13.0,41.0,3.0,9.0,26.0,34.0,25.0,85,22.0,15.0,50.0,79.0,5.0,5.0,6.0,5.0,6.0,24.0,2.0,27.0,3.0
0,3.9074550128534704,0.4207369323050557,107.54901960784314,75.74,0.9905,0.34361610968294776,0.016281062553556127,45.227779388427734,189,50.0,123.0,130.0,38.0,45.0,66.0,24.0,63.0,3.0,6.0,19.0,25.0,36.0,82,23.0,36.0,81.0,56.0,5.0,3.0,3.0,8.0,4.0,6.0,6.0,9.0,1.0
0,4.030884808013355,0.3964941569282137,42.11851851851852,77.13,-0.9989,0.3380634390651085,0.024207011686143573,16.896224975585938,124,133.0,128.0,113.0,67.0,69.0,21.0,26.0,62.0,10.0,14.0,29.0,10.0,32.0,90,13.0,12.0,26.0,88.0,4.0,4.0,1.0,2.0,7.0,42.0,5.0,42.0,3.0
0,4.248686514886165,0.4273204903677758,118.06122448979592,67.79,0.9897,0.3861646234676007,0.021015761821366025,34.9143180847168,167,48.0,135.0,109.0,52.0,57.0,65.0,27.0,64.0,3.0,11.0,26.0,25.0,42.0,70,23.0,31.0,56.0,39.0,5.0,1.0,8.0,4.0,3.0,18.0,7.0,12.0,2.0
